,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
177,Convolutional Neural Network for Retinal Blood Vessel Segmentation,Z. Yao; Z. Zhang; L. Q. Xu,"Beijing Adv. innovation center for future internet Technol., Beijing Univ. of Technol., Beijing, China",2016 9th International Symposium on Computational Intelligence and Design (ISCID),20170126.0,2016,1,,406,409,"This paper proposes a CNN (Convolutional neural network) based blood vessel segmentation algorithm. Each pixel with its neighbors of the fundus image is checked by the CNN. The preliminary segmentation results of fundus images were refined by a two stages binarization and a morphological operation successively. The algorithm was tested on DRIVE dataset. While the specificity is 0.9603, sensitivity is 0.7731, which is very close to that of manual annotation. The sensitivity is 2% better than the ones found in current studies. The CNN based algorithm improves the segmentation of blood vessels performance significantly.",,Electronic:978-1-5090-3558-8; POD:978-1-5090-3559-5,10.1109/ISCID.2016.1100,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830374,CNN;Two Stages Binarization;fundus image;vessel segmentation,Computational intelligence;Decision support systems;Handheld computers;Image segmentation;Sensitivity,blood vessels;image segmentation;medical image processing;neural nets,CNN;DRIVE dataset;blood vessel performance segmentation improvement;convolutional neural network;fundus image;morphological operation;retinal blood vessel segmentation algorithm,,,,,,,,10-11 Dec. 2016,,IEEE,IEEE Conference Publications
178,Cancer Cells Detection in Phase-Contrast Microscopy Images Based on Faster R-CNN,J. Zhang; H. Hu; S. Chen; Y. Huang; Q. Guan,"Coll. of Comput. Sci. & Technol., Zhejiang Univ. of Technol., Hangzhou, China",2016 9th International Symposium on Computational Intelligence and Design (ISCID),20170126.0,2016,1,,363,367,"In biology and medicine research, detection and identification of cancer cells plays an essential role to further analysis of cell properties and developing new drugs experiments. However, owing to the adhesion among cells and great changes in morphology, it is a very challenging task to detect and locate the cells accurately, especially for the cells adhesion area. In this work, a deep detector for cells based on the framework of Faster R-CNN is proposed, and based on this, a Circle Scanning Algorithm (CSA) is presented for the redetection of adhesion cells. And then a series of experiments are achieved. The results show that the proposed deep detector can detect and identify all separate individual cells in an image, and that the hybrid method by combining Faster R-CNN with the proposed CSA can effectively detect and identify the adhesion cells under the conditions of the limited samples of adhesion cells.",,Electronic:978-1-5090-3558-8; POD:978-1-5090-3559-5,10.1109/ISCID.2016.1090,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830364,CSA;Cell detector;Faster R-CNN;RPN,Adhesives;Cancer;Cells (biology);Detectors;Morphology;Proposals;Training,cancer;cellular biophysics;feedforward neural nets;image classification;medical image processing,CSA;Faster-R-CNN;adhesion cell redetection;cancer cell detection;cancer cell identification;circle scanning algorithm;deep detector;hybrid method;phase-contrast microscopy images,,,,,,,,10-11 Dec. 2016,,IEEE,IEEE Conference Publications
179,CNN transfer learning for the automated diagnosis of celiac disease,G. Wimmer; A. Vécsei; A. Uhl,"University of Salzburg, Department of Computer Sciences, Salzburg, Austria","2016 Sixth International Conference on Image Processing Theory, Tools and Applications (IPTA)",20170119.0,2016,,,1,6,"In this work, four well known convolutional neural networks (CNNs) that were pretrained on the ImageNet database are applied for the computer assisted diagnosis of celiac disease based on endoscopic images of the duodenum. The images are classified using three different transfer learning strategies and a experimental setup specifically adapted for the classification of endoscopic imagery. The CNNs are either used as fixed feature extractors without any fine-tuning to our endoscopic celiac disease image database or they are fine-tuned by training either all layers of the CNN or by fine-tuning only the fully connected layers. Classification is performed by the CNN SoftMax classifier as well as linear support vector machines. The CNN results are compared with the results of four state-of-the-art image representations. We will show that fine-tuning all the layers of the nets achieves the best results and outperforms the comparison approaches.",,Electronic:978-1-4673-8910-5; POD:978-1-4673-8911-2,10.1109/IPTA.2016.7821020,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7821020,Automated diagnois;Celiac Disease;Convolutional neural networks;Endoscopy;Transfer learning,Databases;Diseases;Endoscopes;Feature extraction;Image representation;Support vector machines;Training,biomedical optical imaging;diseases;endoscopes;feature extraction;image classification;image representation;learning (artificial intelligence);medical image processing;neural nets;support vector machines,CNN SoftMax classifier;CNN transfer learning;ImageNet database;automated celiac disease diagnosis;computer assisted diagnosis;convolutional neural networks;duodenum;endoscopic celiac disease image database;endoscopic imagery;fine-tuning;fixed feature extractors;fully connected layers;image classification;image representation;linear support vector machines,,,,,,,,12-15 Dec. 2016,,IEEE,IEEE Conference Publications
180,Emotion recognition from multi-channel EEG data through Convolutional Recurrent Neural Network,Xiang Li; Dawei Song; Peng Zhang; Guangliang Yu; Yuexian Hou; Bin Hu,"Tianjin Key Laboratory of Cognitive Computing and Application, Tianjin University, China",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),20170119.0,2016,,,352,359,"Automatic emotion recognition based on multi-channel neurophysiological signals, as a challenging pattern recognition task, is becoming an important computer-aided method for emotional disorder diagnoses in neurology and psychiatry. Traditional approaches require designing and extracting a range of features from single or multiple channel signals based on extensive domain knowledge. This may be an obstacle for non-domain experts. Moreover, traditional feature fusion method can not fully utilize correlation information between different channels. In this paper, we propose a preprocessing method that encapsulates the multi-channel neurophysiological signals into grid-like frames through wavelet and scalogram transform. We further design a hybrid deep learning model that combines the `Convolutional Neural Network (CNN)' and `Recurrent Neural Network (RNN)', for extracting task-related features, mining inter-channel correlation and incorporating contextual information from those frames. Experiments are carried out, in a trial-level emotion recognition task, on the DEAP benchmarking dataset. Our results demonstrate the effectiveness of the proposed methods, with respect to the emotional dimensions of Valence and Arousal.",,Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9,10.1109/BIBM.2016.7822545,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822545,CNN;EEG;LSTM;emotion recognition;physiological signal,Continuous wavelet transforms;Correlation;Electroencephalography;Emotion recognition;Feature extraction,data mining;electroencephalography;emotion recognition;feature extraction;medical disorders;medical signal processing;neurophysiology;wavelet transforms,CNN;DEAP benchmarking dataset;RNN;automatic emotion recognition;computer-aided method;contextual information;convolutional neural network;convolutional recurrent neural network;emotional dimensions;emotional disorder diagnoses;extensive domain knowledge;grid-like frames;hybrid deep learning model;interchannel correlation mining;multichannel EEG data;multichannel neurophysiological signals;multiple channel signals;neurology;nondomain experts;pattern recognition task;psychiatry;recurrent neural network;scalogram transform;single channel signals;task-related feature extraction;trial-level emotion recognition task;valence-and-arousal;wavelet transform,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications
181,ML-CNN: A novel deep learning based disease named entity recognition architecture,Zhehuan Zhao; Zhihao Yang; Ling Luo; Yin Zhang; Lei Wang; Hongfei Lin; Jian Wang,"College of Computer Science and Technology, Dalian University of Technology, China, 116023",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),20170119.0,2016,,,794,794,"In this paper, we present a deep learning based disease named entity recognition architecture. First, the word-level embedding, character-level embedding and lexicon feature embedding are concatenated as input. Then multiple convolutional layers are stacked over the input to extract useful features automatically. Finally, multiple label strategy, which is firstly introduced, is applied to the output layer to capture the correlation information between neighboring labels. Experimental results on both NCBI and CDR corpora show that ML-CNN can achieve the state-of-the-art performance.",,Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9,10.1109/BIBM.2016.7822625,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822625,convolutional neural network;deep learning;disease;multiple label strategy;named entity recognition,Computational linguistics;Computer architecture;Context;Correlation;Diseases;Feature extraction;Machine learning,diseases;feature extraction;learning (artificial intelligence);medical computing;neural nets,CDR corpora;ML-CNN;NCBI corpora;character-level embedding;deep learning method;disease named entity recognition architecture;feature extraction;lexicon feature embedding;multiple label convolutional neural network;word-level embedding,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications
182,CNN-based image analysis for malaria diagnosis,Z. Liang; A. Powell; I. Ersoy; M. Poostchi; K. Silamut; K. Palaniappan; P. Guo; M. A. Hossain; A. Sameer; R. J. Maude; J. X. Huang; S. Jaeger; G. Thoma,"School of Information Technology, York University, Toronto, ON, M3J1P3, Canada",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),20170119.0,2016,,,493,496,"Malaria is a major global health threat. The standard way of diagnosing malaria is by visually examining blood smears for parasite-infected red blood cells under the microscope by qualified technicians. This method is inefficient and the diagnosis depends on the experience and the knowledge of the person doing the examination. Automatic image recognition technologies based on machine learning have been applied to malaria blood smears for diagnosis before. However, the practical performance has not been sufficient so far. This study proposes a new and robust machine learning model based on a convolutional neural network (CNN) to automatically classify single cells in thin blood smears on standard microscope slides as either infected or uninfected. In a ten-fold cross-validation based on 27,578 single cell images, the average accuracy of our new 16-layer CNN model is 97.37%. A transfer learning model only achieves 91.99% on the same images. The CNN model shows superiority over the transfer learning model in all performance indicators such as sensitivity (96.99% vs 89.00%), specificity (97.75% vs 94.98%), precision (97.73% vs 95.12%), F1 score (97.36% vs 90.24%), and Matthews correlation coefficient (94.75% vs 85.25%).",,Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9,10.1109/BIBM.2016.7822567,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822567,computer-aided diagnosis;convolutional neural network;deep learning;machine learning;malaria,Blood;Data models;Diseases;Machine learning;Mathematical model;Microscopy;Training,blood;cellular biophysics;diseases;image recognition;learning (artificial intelligence);medical image processing;neural nets,CNN-based image analysis;Matthews correlation coefficient;automatic image recognition technology;convolutional neural network;machine learning model;malaria diagnosis;parasite-infected red blood cell;single cell classification;single cell images,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications
183,Cardiac left ventricular volumes prediction method based on atlas location and deep learning,G. Luo; S. Dong; K. Wang; H. Zhang,"School of Computer Science and Technology, Harbin Institute of Technology, China",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),20170119.0,2016,,,1604,1610,"In this paper, we proposed a novel left ventricular volumes prediction method. This method is a cascade architecture which is based on multi-scale LV atlas location and deep convolutional neural networks (CNN). Firstly, we adopted LV atlas mapping method to achieve accurate location of LV region in cardiac magnetic resonance (CMR) images. And then, the CNN were used to train an end-to-end LV volumes prediction model to achieve the direct prediction. What's more, the large number of CMR images data (1140 subjects, more than 1026000 images) make the proposed deep CNN have relatively better feature representation and robust prediction ability. The experiment results on the large-scale CMR datasets prove that the proposed method has higher accuracy than the state-of-the-art prediction methods in terms of the end-diastole volumes (EDV), the end-systole volumes (ESV), and the ejection fraction (EF). Besides, we make the proposed method open accessible to public for wide application in other biomedical image processing fields.",,Electronic:978-1-5090-1611-2; POD:978-1-5090-1612-9,10.1109/BIBM.2016.7822759,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7822759,CMR images;LV atlas;deep convolutional neural networks;volumes prediction,Fitting;Image segmentation;Kernel;Manuals,biomedical MRI;cardiology;convolution;feature extraction;image representation;learning (artificial intelligence);medical image processing;neural nets,biomedical image processing fields;cardiac left ventricular volume prediction method;cardiac magnetic resonance images;deep convolutional neural networks;deep learning;end-diastole volumes;end-systole volumes;feature representation;multiscale LV atlas mapping method,,,,,,,,15-18 Dec. 2016,,IEEE,IEEE Conference Publications
184,Oriented tooth localization for periapical dental X-ray images via convolutional neural network,H. Eun; C. Kim,"School of Electrical Engineering, Korea Advanced Institute of Science and Technology (KAIST)",2016 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA),20170119.0,2016,,,1,7,"In studies using dental X-ray images, tooth localization is essential to produce accurate results. In this paper, we propose a tooth localization method that tightly localize diverse teeth in periapical dental X-ray images. Oriented tooth proposals are generated by using teeth separation lines (TSLs) and a tooth top line, which are reliable and tight to teeth. To classify each tooth proposal into either a tooth or a non-tooth, we utilize a convolutional neural network (CNN). Our CNN model is trained with three classes, i.e., one negative and two positives, for better classification. In addition, we propose scale based non-maximum suppression by integrating scale confidence with non-maximum suppression to efficiently eliminate multiple tooth localizations.",,Electronic:978-9-8814-7682-1; POD:978-1-5090-2401-8,10.1109/APSIPA.2016.7820720,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820720,,Dentistry;Image segmentation;Neural networks;Proposals;Teeth;Training;X-ray imaging,dentistry;medical image processing;neural nets,CNN model;convolutional neural network;oriented tooth localization;periapical dental X-ray images;teeth separation lines;tooth localization method,,,,,,,,13-16 Dec. 2016,,IEEE,IEEE Conference Publications
185,A Novel Deep Model for Biopsy Image Grading,G. Zhang; Z. H. Liang; H. D. Lai; Y. Y. Lin; D. Lin; Z. P. Li,"Sch. of Autom., Guangdong Univ. of Technol., Guangzhou, China",2016 International Conference on Information System and Artificial Intelligence (ISAI),20170116.0,2016,,,323,326,"We propose in this paper a deep learning model based on convolutional neural network (CNN) for biopsy image grading. The model outputs a vector of scores indicating presence or severity of the target histopathological characteristics. Within the model, we first design a 7-layer CNN for feature representation and high level concept extraction. Each biopsy image is expressed as a feature vector through our CNN processor. We then place a sigmoid function into the output layer so as to generate a score for each target characteristic. The proposed model is evaluated on a benchmark dataset and a real biopsy image dataset to show its effectiveness.",,Electronic:978-1-5090-1585-6; POD:978-1-5090-1586-3,10.1109/ISAI.2016.0075,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7816728,biopsy image grading;convolutional neural network;deep learning;histopathological image analysis;sigmoid function,Biological system modeling;Biopsy;Computational modeling;Feature extraction;Machine learning;Solid modeling;Training,feature extraction;learning (artificial intelligence);medical image processing;neural nets,CNN;biopsy image grading;convolutional neural network;deep learning model;feature representation;high level concept extraction;histopathological characteristics;sigmoid function,,,,,,,,24-26 June 2016,,IEEE,IEEE Conference Publications
186,Recognition of persisting emotional valence from EEG using convolutional neural networks,M. Yanagimoto; C. Sugimoto,"Graduate School of Engineering, Yokohama National University, Yokohama, Japan",2016 IEEE 9th International Workshop on Computational Intelligence and Applications (IWCIA),20170105.0,2016,,,27,32,"Recently there has been considerable interest in EEG-based emotion recognition (EEG-ER), which is one of the utilization of BCI. However, it is not easy to realize the EEG-ER system which can recognize emotions with high accuracy because of the tendency for important information in EEG signals to be concealed by noises. Deep learning is the golden tool to grasp the features concealed in EEG data and enable highly accurate EEG-ER because deep neural networks (DNNs) may have higher recognition capability than humans'. The publicly available dataset named DEAP, which is for emotion analysis using EEG, was used in the experiment. The CNN and a conventional model used for comparison are evaluated by the tests according to 11-fold cross validation scheme. EEG raw data obtained from 16 electrodes without general preprocesses were used as input data. The models classify and recognize EEG signals according to the emotional states ""positive"" or ""negative"" which were caused by watching music videos. The results show that the more training data are, the much higher the accuracies of CNNs are (by over 20%). It also suggests that the increased training data need not to belong to the same person's EEG data as the test data so as to get the CNN recognizing emotions accurately. The results indicate that there are not only the considerable amount of the interpersonal difference but also commonality of EEG properties.",,Electronic:978-1-5090-2775-0; POD:978-1-5090-2776-7,10.1109/IWCIA.2016.7805744,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7805744,BCI;Convolutional neural networks;Deep learning;EEG;Emotion recognition;Interpersonal difference/commonality,Brain modeling;Convolution;Data models;Electroencephalography;Emotion recognition;Feature extraction;Videos,brain-computer interfaces;convolution;electroencephalography;emotion recognition;learning (artificial intelligence);medical signal processing;neural nets;signal classification,BCI;DEAP dataset;EEG signal classification;EEG-ER system;EEG-based emotion recognition;convolutional neural networks;deep learning;deep neural networks;emotion analysis;persisting emotional valence recognition,,,,,,,,5-5 Nov. 2016,,IEEE,IEEE Conference Publications
187,Deep convolutional encoder-decoder for myelin and axon segmentation,R. Mesbah; B. McCane; S. Mills,"Department of Computer Science, University of Otago, New Zealand",2016 International Conference on Image and Vision Computing New Zealand (IVCNZ),20170105.0,2016,,,1,6,"We propose a fully automatic method for segmenting myelin and axon from microscopy images of excised mouse spinal cord based on Convolutional Neural Networks (CNNs) and Deep Convolutional Encoder-Decoder. We compare a two-class CNN, multi-class CNN, and multi-class deep convolutional encoder-decoder with traditional methods. The CNN method gives a pixel-wise accuracy of 79.7% whereas an Active Contour method gives 59.4%. The encoder-decoder shows better performance with 82.3% and noticeably shorter classification time than CNN methods.",,Electronic:978-1-5090-2748-4; POD:978-1-5090-2749-1; USB:978-1-5090-2747-7,10.1109/IVCNZ.2016.7804455,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7804455,,Axons;Computer architecture;Convolution;Decoding;Image segmentation;Microscopy;Training,feedforward neural nets;image classification;image segmentation;medical image processing,active contour method;axon segmentation;classification time;convolutional neural networks;excised mouse spinal cord;medical image processing;microscopy images;multiclass CNN;multiclass deep convolutional encoder-decoder;myelin segmentation;pixel-wise accuracy;two-class CNN,,,,,,,,21-22 Nov. 2016,,IEEE,IEEE Conference Publications
188,Diagnosis of Parkinson's disease from continuous speech using deep convolutional networks without manual selection of features,A. Frid; A. Kantor; D. Svechin; L. M. Manevitz,"Department of Computer Science and Neurocomputation Lab., University of Haifa, Haifa, Israel",2016 IEEE International Conference on the Science of Electrical Engineering (ICSEE),20170105.0,2016,,,1,4,"Parkinson's Disease (PD) is a relatively common neurodegenerative disabling disease. It affects central nervous system with profound effect on the motor system. The most common symptoms include slowness, rigidity and tremor during motion. It has been suggested that the vocal cords are among the first one to be affected and thus the speech is affected at very early stage of the disease and continues to deteriorate as the disease progress. In this work, we focus on automating the process of diagnosis from continuous native speech by removing the necessity of a trained personal from the diagnosis process. This is done by using an adaptation of Convolutional Neural Network (CNN) architecture for one-dimensional signal processing (i.e. raw speech signal) on a relatively small training set. This is a continuation to previous works where we showed (i) that this task can be achieved by using manually-extracted features of the speech (such as formants and their ratios) and (ii) by using an automatic process of auditory features extraction, where the features were selected by signal processing specialist.",,Electronic:978-1-5090-2152-9; POD:978-1-5090-2153-6,10.1109/ICSEE.2016.7806118,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7806118,Convolutional Neural Networks (CNN);Machine Learning;Parkinson's Disease;Speech Analysis,Biological neural networks;Convolution;Diseases;Feature extraction;Neurons;Speech;Training,auditory evoked potentials;convolution;diseases;feature extraction;learning (artificial intelligence);medical signal processing;neural nets;neurophysiology;speech processing,Parkinson disease diagnosis;auditory feature extraction;central nervous system;continuous native speech;convolutional neural network architecture;deep convolutional networks;manually-extracted features;motor system;neurodegenerative disabling disease;one-dimensional signal processing;vocal cords,,,,,,,,16-18 Nov. 2016,,IEEE,IEEE Conference Publications
189,Mental Disease Feature Extraction with MRI by 3D Convolutional Neural Network with Multi-channel Input,L. Cao; Z. Liu; X. He; Y. Cao; K. Li,"Sch. of Inf. Sci. & Eng., Shandong Univ., Jinan, China",2016 IEEE International Conference on Smart Cloud (SmartCloud),20161226.0,2016,,,224,227,"Magnetic resonance imaging (MRI) plays an important role in early diagnosis, which can accurately capture the disease variations of the anatomical brain structure. We propose a novel method for improving feature extraction performance from magnetic resonance images (MRI). This study presents a combination of multi-channel input and 3D convolutional neural network architecture which can reduce the feature dimensionality. Multi-channel input scheme is devised to apply prior knowledge on MRI original inputs in order to overcame possibly uncertainty and unsteadiness on the final features. While, the 3D-CNN model can simultaneously extract features from spatial and temporal dimensions for purpose of capturing the variations of constructive information.",,Electronic:978-1-5090-5263-9; POD:978-1-5090-5264-6,10.1109/SmartCloud.2016.38,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7796178,3D convolutional neural network;MRI;Multi-channel input;feature extraction,Convolution;Feature extraction;Kernel;Magnetic resonance imaging;Three-dimensional displays;Wavelet transforms,biomedical MRI;brain;convolution;diseases;feature extraction;medical image processing;neural nets;patient diagnosis;stereo image processing,3D convolutional neural network;MRI;anatomical brain structure;diagnosis;magnetic resonance imaging;mental disease feature extraction;multichannel input,,,,,,,,18-20 Nov. 2016,,IEEE,IEEE Conference Publications
190,Image Registration for Placenta Reconstruction,F. Gaisser; P. P. Jonker; T. Chiba,"Dept. of Biomech. Eng., Delft Univ. of Technol., Delft, Netherlands",2016 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),20161219.0,2016,,,473,480,"In this paper we introduce a method to handle the challenges posed by image registration for placenta reconstruction from fetoscopic video as used in the treatment of Twinto-Twin Transfusion Syndrome (TTTS). Panorama reconstruction of the placenta greatly supports the surgeon in obtaining a complete view of the placenta to localize vascular anastomoses. The found shunts can subsequently be blocked by coagulation in the correct order. By using similarity learning in training a Convolutional Neural Network we created a novel feature extraction method, allowing robust matching of keypoints for image registration and therefore taking the most critical step in placenta reconstruction from fetoscopic video. The fetoscopic video we used for our experiments was acquired from a training simulator for TTTS surgery. We compared our method with state-of-the-art methods. The matching performance of our method is up to three times better while the mean projection error is reduced with 64% for the registered images. Our image registration method provides the ground work for a complete panorama reconstruction of the placenta.",,Electronic:978-1-5090-1437-8; POD:978-1-5090-1438-5,10.1109/CVPRW.2016.66,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789556,,Feature extraction;Image reconstruction;Image registration;Robustness;Surgery;Training;Transforms,feature extraction;image matching;image reconstruction;image registration;medical image processing;neural nets;obstetrics;video signal processing,CNN;TTTS surgery;convolutional neural network;feature extraction method;fetoscopic video;image registration;keypoint matching;mean projection error;placenta panorama reconstruction;similarity learning;twin-to-twin transfusion syndrome;vascular anastomoses,,,,,,,,June 26 2016-July 1 2016,,IEEE,IEEE Conference Publications
191,Neuron Segmentation Based on CNN with Semi-Supervised Regularization,K. Xu; H. Su; J. Zhu; J. S. Guan; B. Zhang,"Dept. of Comput. Sci. & Technol., Tsinghua Univ., Beijing, China",2016 IEEE Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),20161219.0,2016,,,1324,1332,"Neuron segmentation in two-photon microscopy images is a critical step to investigate neural network activities in vivo. However, it still remains as a challenging problem due to the image qualities, which largely results from the non-linear imaging mechanism and 3D imaging diffusion. To address these issues, we proposed a novel framework by incorporating the convolutional neural network (CNN) with a semi-supervised regularization term, which reduces the human efforts in labeling without sacrificing the performance. Specifically, we generate a putative label for each unlabeled sample regularized with a graph-smooth term, which are used as if they were true labels. A CNN model is therefore trained in a supervised fashion with labeled and unlabeled data simultaneously, which is used to detect neuron regions in 2D images. Afterwards, neuron segmentation in a 3D volume is conducted by associating the corresponding neuron regions in each image. Experiments on real-world datasets demonstrate that our approach outperforms neuron segmentation based on the graph-based semisupervised learning, the supervised CNN and variants of the semi-supervised CNN.",,Electronic:978-1-5090-1437-8; POD:978-1-5090-1438-5,10.1109/CVPRW.2016.167,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789657,,Biological neural networks;Image segmentation;Microscopy;Neurons;Three-dimensional displays;Two dimensional displays,feedforward neural nets;graph theory;image segmentation;learning (artificial intelligence);medical image processing;neurophysiology;two-photon spectroscopy,3D imaging diffusion;3D volume;convolutional neural network;graph-based semisupervised learning;graph-smooth term;image qualities;neural network activities;neuron region detection;neuron segmentation;nonlinear imaging mechanism;semisupervised regularization;supervised CNN model;two-photon microscopy images,,,,,,,,June 26 2016-July 1 2016,,IEEE,IEEE Conference Publications
192,Patch-Based Convolutional Neural Network for Whole Slide Tissue Image Classification,L. Hou; D. Samaras; T. M. Kurc; Y. Gao; J. E. Davis; J. H. Saltz,,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),20161212.0,2016,,,2424,2433,"Convolutional Neural Networks (CNN) are state-of-theart models for many image classification tasks. However, to recognize cancer subtypes automatically, training a CNN on gigapixel resolution Whole Slide Tissue Images (WSI) is currently computationally impossible. The differentiation of cancer subtypes is based on cellular-level visual features observed on image patch scale. Therefore, we argue that in this situation, training a patch-level classifier on image patches will perform better than or similar to an image-level classifier. The challenge becomes how to intelligently combine patch-level classification results and model the fact that not all patches will be discriminative. We propose to train a decision fusion model to aggregate patch-level predictions given by patch-level CNNs, which to the best of our knowledge has not been shown before. Furthermore, we formulate a novel Expectation-Maximization (EM) based method that automatically locates discriminative patches robustly by utilizing the spatial relationships of patches. We apply our method to the classification of glioma and non-small-cell lung carcinoma cases into subtypes. The classification accuracy of our method is similar to the inter-observer agreement between pathologists. Although it is impossible to train CNNs on WSIs, we experimentally demonstrate using a comparable non-cancer dataset of smaller images that a patch-based CNN can outperform an image-based CNN.",,Electronic:978-1-4673-8851-1; POD:978-1-4673-8852-8,10.1109/CVPR.2016.266,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780635,,Cancer;Image resolution;Neural networks;Predictive models;Robustness;Training;Visualization,cancer;image classification;learning (artificial intelligence);medical image processing;neural nets;optimisation,CNN training;EM based method;WSI;cancer subtype differentiation;cellular-level visual features;decision fusion model training;discriminative patch automatic location;expectation-maximization based method;glioma classification;image patch scale;nonsmall-cell lung carcinoma;patch spatial relationships;patch-based CNN;patch-based convolutional neural network;patch-level CNN;patch-level classifier;patch-level prediction aggregation;whole slide tissue image classification,,,,,,,,27-30 June 2016,,IEEE,IEEE Conference Publications
193,Cellular neural network processing of CEUS examination. A pilot study,C. Botoca; M. Botoca,"Communications Department, Politehnica University of Timi&#x015F;oara, Romania",2016 12th IEEE International Symposium on Electronics and Telecommunications (ISETC),20161212.0,2016,,,309,312,"A new method for a differential diagnosis of focal liver lesions (FLL), using cellular neural networks (CNN), intended to develop a computer assisted diagnosis (CAD) procedure, is presented. Two types of lesions with a known typical behavior were selected for the CNN image processing. The database consisted of 20 cases of video recordings of contrast enhancement ultrasound (CEUS) examination. The images processed by the CNN algorithm were selected by ultrasound experts. The images resulted from the CNN processing were accurate and characteristic enough to make possible an instant differential diagnosis between hemangioma and hepatocellular carcinoma.",,Electronic:978-1-5090-3748-3; POD:978-1-5090-3749-0,10.1109/ISETC.2016.7781119,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7781119,cellular neural networks;computer assisted diagnosis hemangioma;contrast enhancement ultrasound;hepatocellular carcinoma;image processing,Biomedical imaging;Cellular neural networks;Computers;Image processing;Lesions;Portals;Ultrasonic imaging,biomedical ultrasonics;image enhancement;medical image processing;neural nets,CAD;CEUS examination;CNN image processing;FLL;cellular neural network processing;computer assisted diagnosis;contrast enhancement ultrasound examination;focal liver lesions;hemangioma carcinoma;hepatocellular carcinoma;video recordings,,,,,,,,27-28 Oct. 2016,,IEEE,IEEE Conference Publications
