Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties,abstract,email,keywords,fullURL,source,year,key,use
very deep convolutional neural networks for morphologic classification of erythrocytes,/pubmed/28877918,"Durant TJS, Olson EM, Schulz WL, Torres R.",Clin Chem. 2017 Sep 6. pii: clinchem.2017.276345. doi: 10.1373/clinchem.2017.276345. [Epub ahead of print],Clin Chem.  2017,PubMed,citation,PMID:28877918,pubmed,28877918,create date:2017/09/08 | first author:Durant TJS,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>Morphologic profiling of the erythrocyte population is a widely used and clinically valuable diagnostic modality, but one that relies on a slow manual process associated with significant labor cost and limited reproducibility. Automated profiling of erythrocytes from digital images by capable machine learning approaches would augment the throughput and value of morphologic analysis. To this end, we sought to evaluate the performance of leading implementation strategies for convolutional neural networks (CNNs) when applied to classification of erythrocytes based on morphology.</abstracttext></p><h4>METHODS: </h4><p><abstracttext label='METHODS' nlmcategory='METHODS'>Erythrocytes were manually classified into 1 of 10 classes using a custom-developed Web application. Using recent literature to guide architectural considerations for neural network design, we implemented a 'very deep' CNN, consisting of &gt;150 layers, with dense shortcut connections.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>The final database comprised 3737 labeled cells. Ensemble model predictions on unseen data demonstrated a harmonic mean of recall and precision metrics of 92.70% and 89.39%, respectively. Of the 748 cells in the test set, 23 misclassification errors were made, with a correct classification frequency of 90.60%, represented as a harmonic mean across the 10 morphologic classes.</abstracttext></p><h4>CONCLUSIONS: </h4><p><abstracttext label='CONCLUSIONS' nlmcategory='CONCLUSIONS'>These findings indicate that erythrocyte morphology profiles could be measured with a high degree of accuracy with 'very deep' CNNs. Further, these data support future efforts to expand classes and optimize practical performance in a clinical environment as a prelude to full implementation as a clinical tool.</abstracttext></p><p class='copyright'>© 2017 American Association for Clinical Chemistry.</p></div></div>",richard.torres@yale.edu,,https://www.ncbi.nlm.nih.gov//pubmed/28877918,pubmed,2017,4f8a8809-4f26-4b1a-a153-ac3679756fe4,1
deeppep: deep proteome inference from peptide profiles,/pubmed/28873403,"Kim M, Eetemadi A, Tagkopoulos I.",PLoS Comput Biol. 2017 Sep 5;13(9):e1005661. doi: 10.1371/journal.pcbi.1005661. eCollection 2017 Sep.,PLoS Comput Biol.  2017,PubMed,citation,PMID:28873403,pubmed,28873403,create date:2017/09/06 | first author:Kim M,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Protein inference, the identification of the protein set that is the origin of a given peptide profile, is a fundamental challenge in proteomics. We present DeepPep, a deep-convolutional neural network framework that predicts the protein set from a proteomics mixture, given the sequence universe of possible proteins and a target peptide profile. In its core, DeepPep quantifies the change in probabilistic score of peptide-spectrum matches in the presence or absence of a specific protein, hence selecting as candidate proteins with the largest impact to the peptide profile. Application of the method across datasets argues for its competitive predictive ability (AUC of 0.80±0.18, AUPR of 0.84±0.28) in inferring proteins without need of peptide detectability on which the most competitive methods rely. We find that the convolutional neural network architecture outperforms the traditional artificial neural network architectures without convolution layers in protein inference. We expect that similar deep learning architectures that allow learning nonlinear patterns can be further extended to problems in metagenome profiling and cell type inference. The source code of DeepPep and the benchmark datasets used in this study are available at https://deeppep.github.io/DeepPep/.</abstracttext></p></div></div>",,,https://www.ncbi.nlm.nih.gov//pubmed/28873403,pubmed,2017,e335d6a4-2ea2-4615-bb11-0e68a1185c70,1
a deep convolutional neural network model to classify heartbeats,/pubmed/28869899,"Acharya UR, Oh SL, Hagiwara Y, Tan JH, Adam M, Gertych A, Tan RS.",Comput Biol Med. 2017 Aug 24;89:389-396. doi: 10.1016/j.compbiomed.2017.08.022. [Epub ahead of print],Comput Biol Med.  2017,PubMed,citation,PMID:28869899,pubmed,28869899,create date:2017/09/05 | first author:Acharya UR,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>The electrocardiogram (ECG) is a standard test used to monitor the activity of the heart. Many cardiac abnormalities will be manifested in the ECG including arrhythmia which is a general term that refers to an abnormal heart rhythm. The basis of arrhythmia diagnosis is the identification of normal versus abnormal individual heart beats, and their correct classification into different diagnoses, based on ECG morphology. Heartbeats can be sub-divided into five categories namely non-ectopic, supraventricular ectopic, ventricular ectopic, fusion, and unknown beats. It is challenging and time-consuming to distinguish these heartbeats on ECG as these signals are typically corrupted by noise. We developed a 9-layer deep convolutional neural network (CNN) to automatically identify 5 different categories of heartbeats in ECG signals. Our experiment was conducted in original and noise attenuated sets of ECG signals derived from a publicly available database. This set was artificially augmented to even out the number of instances the 5 classes of heartbeats and filtered to remove high-frequency noise. The CNN was trained using the augmented data and achieved an accuracy of 94.03% and 93.47% in the diagnostic classification of heartbeats in original and noise free ECGs, respectively. When the CNN was trained with highly imbalanced data (original dataset), the accuracy of the CNN reduced to 89.07%% and 89.3% in noisy and noise-free ECGs. When properly trained, the proposed CNN model can serve as a tool for screening of ECG to quickly identify different types and frequency of arrhythmic heartbeats.</abstracttext></p><p class='copyright'>Copyright © 2017 Elsevier Ltd. All rights reserved.</p></div></div>",aru@np.edu.sg,Arrhythmia; Cardiovascular diseases; Convolutional neural network; Deep learning; Electrocardiogram signals; Heartbeat; PhysioBank MIT-BIH arrhythmia database,https://www.ncbi.nlm.nih.gov//pubmed/28869899,pubmed,2017,15a24873-8c8c-43a0-8656-26825c560e27,1
capturing complex 3d human motions with kernelized low-rank representation from monocular rgb camera,/pubmed/28869514,"Wang X, Wang F, Chen Y.",Sensors (Basel). 2017 Sep 3;17(9). pii: E2019. doi: 10.3390/s17092019.,Sensors (Basel).  2017,PubMed,citation,PMID:28869514,pubmed,28869514,create date:2017/09/05 | first author:Wang X,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Recovering 3D structures from the monocular image sequence is an inherently ambiguous problem that has attracted considerable attention from several research communities. To resolve the ambiguities, a variety of additional priors, such as low-rank shape basis, have been proposed. In this paper, we make two contributions. First, we introduce an assumption that 3D structures lie on the union of nonlinear subspaces. Based on this assumption, we propose a Non-Rigid Structure from Motion (NRSfM) method with kernelized low-rank representation. To be specific, we utilize the soft-inextensibility constraint to accurately recover 3D human motions. Second, we extend this NRSfM method to the marker-less 3D human pose estimation problem by combining with Convolutional Neural Network (CNN) based 2D human joint detectors. To evaluate the performance of our methods, we apply our marker-based method on several sequences from Utrecht Multi-Person Motion (UMPM) benchmark and CMU MoCap datasets, and then apply the marker-less method on the Human3.6M datasets. The experiments demonstrate that the kernelized low-rank representation is more suitable for modeling the complex deformation and the method consequently yields more accurate reconstructions. Benefiting from the CNN-based detector, the marker-less approach can be applied to more real-life applications.</abstracttext></p></div></div>",xwang.cv@gmail.com,3D human pose estimation; kernel low-rank representation; monocular reconstruction; non-rigid structure from motion,https://www.ncbi.nlm.nih.gov//pubmed/28869514,pubmed,2017,6e2738fd-baa1-4041-94d9-2a32fa248317,1
"automatic categorization and scoring of solid, part-solid and non-solid pulmonary nodules in ct images with convolutional neural network",/pubmed/28864824,"Tu X, Xie M, Gao J, Ma Z, Chen D, Wang Q, Finlayson SG, Ou Y, Cheng JZ.",Sci Rep. 2017 Sep 1;7(1):8533. doi: 10.1038/s41598-017-08040-8.,Sci Rep.  2017,PubMed,citation,PMID:28864824 | PMCID:PMC5581338,pubmed,28864824,create date:2017/09/03 | first author:Tu X,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>We present a computer-aided diagnosis system (CADx) for the automatic categorization of solid, part-solid and non-solid nodules in pulmonary computerized tomography images using a Convolutional Neural Network (CNN). Provided with only a two-dimensional region of interest (ROI) surrounding each nodule, our CNN automatically reasons from image context to discover informative computational features. As a result, no image segmentation processing is needed for further analysis of nodule attenuation, allowing our system to avoid potential errors caused by inaccurate image processing. We implemented two computerized texture analysis schemes, classification and regression, to automatically categorize solid, part-solid and non-solid nodules in CT scans, with hierarchical features in each case learned directly by the CNN model. To show the effectiveness of our CNN-based CADx, an established method based on histogram analysis (HIST) was implemented for comparison. The experimental results show significant performance improvement by the CNN model over HIST in both classification and regression tasks, yielding nodule classification and rating performance concordant with those of practicing radiologists. Adoption of CNN-based CADx systems may reduce the inter-observer variation among screening radiologists and provide a quantitative reference for further nodule analysis.</abstracttext></p></div></div>",mxie@uestc.edu.cn,,https://www.ncbi.nlm.nih.gov//pubmed/28864824,pubmed,2017,81d6c0eb-9cc3-4cb0-83d9-c67b86ef8c1c,1
classifying patient portal messages using convolutional neural networks,/pubmed/28864104,"Sulieman L, Gilmore D, French C, Cronin RM, Purcell Jackson G, Russell M, Fabbri D.",J Biomed Inform. 2017 Aug 29. pii: S1532-0464(17)30197-1. doi: 10.1016/j.jbi.2017.08.014. [Epub ahead of print],J Biomed Inform.  2017,PubMed,citation,PMID:28864104,pubmed,28864104,create date:2017/09/03 | first author:Sulieman L,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>OBJECTIVE: </h4><p><abstracttext label='OBJECTIVE' nlmcategory='OBJECTIVE'>atients communicate with healthcare providers via secure messaging in patient portals. As patient portal adoption increases, growing messaging volumes may overwhelm providers. Prior research has demonstrated promise in automating classification of patient portal messages into communication types to support message triage or answering. This paper examines if using semantic features and word context improves portal message classification.</abstracttext></p><h4>MATERIALS AND METHODS: </h4><p><abstracttext label='MATERIALS AND METHODS' nlmcategory='METHODS'>ortal messages were classified into the following categories: informational, medical, social, and logistical. We constructed features from portal messages including bag of words, bag of phrases, graph representations, and word embeddings. We trained one-versus-all random forest and logistic regression classifiers, and convolutional neural network (CNN) with a softmax output. We evaluated each classifier's performance using Area Under the Curve (AUC).</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>Representing the messages using bag of words, the random forest detected informational, medical, social, and logistical communications in patient portal messages with AUCs: 0.803, 0.884, 0.828, and 0.928, respectively. Graph representations of messages outperformed simpler features with AUCs: 0.837, 0.914, 0.846, 0.884 for informational, medical, social, and logistical communication, respectively. Representing words with Word2Vec embeddings, and mapping features using a CNN had the best performance with AUCs: 0.908 for informational, 0.917 for medical, 0.935 for social, and 0.943 for logistical categories.</abstracttext></p><h4>DISCUSSION AND CONCLUSION: </h4><p><abstracttext label='DISCUSSION AND CONCLUSION' nlmcategory='CONCLUSIONS'>Word2Vec and graph representations improved the accuracy of classifying portal messages compared to features that lacked semantic information such as bag of words, and bag of phrases. Furthermore, using Word2Vec along with a CNN model, which provide a higher order representation, improved the classification of portal messages.</abstracttext></p><p class='copyright'>Copyright © 2017. Published by Elsevier Inc.</p></div></div>",lina.m.sulieman@vanderbilt.edu,Convolutional Neural Network; Patient portals; Text mining; Word Embedding; Word2Vec,https://www.ncbi.nlm.nih.gov//pubmed/28864104,pubmed,2017,713c1721-a686-444e-b69c-e6590a95cce1,1
automatic detection of new tumors and tumor burden evaluation in longitudinal liver ct scan studies,/pubmed/28856515,"Vivanti R, Szeskin A, Lev-Cohain N, Sosna J, Joskowicz L.",Int J Comput Assist Radiol Surg. 2017 Aug 30. doi: 10.1007/s11548-017-1660-z. [Epub ahead of print],Int J Comput Assist Radiol Surg.  2017,PubMed,citation,PMID:28856515,pubmed,28856515,create date:2017/09/01 | first author:Vivanti R,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>PURPOSE: </h4><p><abstracttext label='PURPOSE' nlmcategory='OBJECTIVE'>Radiological longitudinal follow-up of liver tumors in CT scans is the standard of care for disease progression assessment and for liver tumor therapy. Finding new tumors in the follow-up scan is essential to determine malignancy, to evaluate the total tumor burden, and to determine treatment efficacy. Since new tumors are typically small, they may be missed by examining radiologists.</abstracttext></p><h4>METHODS: </h4><p><abstracttext label='METHODS' nlmcategory='METHODS'>We describe a new method for the automatic detection and segmentation of new tumors in longitudinal liver CT studies and for liver tumors burden quantification. Its inputs are the baseline and follow-up CT scans, the baseline tumors delineation, and a tumor appearance prior model. Its outputs are the new tumors segmentations in the follow-up scan, the tumor burden quantification in both scans, and the tumor burden change. Our method is the first comprehensive method that is explicitly designed to find new liver tumors. It integrates information from the scans, the baseline known tumors delineations, and a tumor appearance prior model in the form of a global convolutional neural network classifier. Unlike other deep learning-based methods, it does not require large tagged training sets.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>Our experimental results on 246 tumors, of which 97 were new tumors, from 37 longitudinal liver CT studies with radiologist approved ground-truth segmentations, yields a true positive new tumors detection rate of 86 versus 72% with stand-alone detection, and a tumor burden volume overlap error of 16%.</abstracttext></p><h4>CONCLUSIONS: </h4><p><abstracttext label='CONCLUSIONS' nlmcategory='CONCLUSIONS'>New tumors detection and tumor burden volumetry are important for diagnosis and treatment. Our new method enables a simplified radiologist-friendly workflow that is potentially more accurate and reliable than the existing one by automatically and accurately following known tumors and detecting new tumors in the follow-up scan.</abstracttext></p></div></div>",refael.vivanti@mail.huji.ac.il,Liver tumors detection; Liver tumors segmentation; Longitudinal CT study; Radiological assessment,https://www.ncbi.nlm.nih.gov//pubmed/28856515,pubmed,2017,1f05d68c-ac7d-438d-8f24-29672b86f774,1
cnn based malaria diagnosis from focus-stack of blood smear images acquired using custom-built slide scanner,/pubmed/28851134,"Gopakumar G, Swetha M, Gorthi SS, Sai Subrahmanyam GRK.",J Biophotonics. 2017 Aug 29. doi: 10.1002/jbio.201700003. [Epub ahead of print],J Biophotonics.  2017,PubMed,citation,PMID:28851134,pubmed,28851134,create date:2017/08/30 | first author:Gopakumar G,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>This paper introduces a focus stacking based approach for automated quantitative detection of Plasmodium falciparum malaria from blood smear. For the detection, a custom designed convolutional neural network (CNN) operating on focus stack of images is used. The cell counting problem is addressed as the segmentation problem and we propose a two level segmentation strategy. Use of CNN operating on focus stack for the detection of malaria is first of its kind, and it not only improved the detection accuracy (both in terms of sensitivity (97.06%) and specificity (98.50%)) but also favoured the processing on cell patches and avoided the need for hand-engineered features. The slide images are acquired with a custom-built portable slide scanner made from low-cost, off-the-shelf components and is suitable for Point-of-Care Diagnostics. The proposed approach of employing sophisticated algorithmic processing together with inexpensive instrumentation can potentially benefit clinicians to enable malaria diagnosis.</abstracttext></p><p class='copyright'>This article is protected by copyright. All rights reserved.</p></div></div>",,,https://www.ncbi.nlm.nih.gov//pubmed/28851134,pubmed,2017,bceca480-d8a9-4c6e-81dc-740cb9bf7964,1
co-trained convolutional neural networks for automated detection of prostate cancer in multi-parametric mri,/pubmed/28850876,"Yang X, Liu C, Wang Z, Yang J, Min HL, Wang L, Cheng KT.",Med Image Anal. 2017 Aug 24;42:212-227. doi: 10.1016/j.media.2017.08.006. [Epub ahead of print],Med Image Anal.  2017,PubMed,citation,PMID:28850876,pubmed,28850876,create date:2017/08/30 | first author:Yang X,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Multi-parameter magnetic resonance imaging (mp-MRI) is increasingly popular for prostate cancer (PCa) detection and diagnosis. However, interpreting mp-MRI data which typically contains multiple unregistered 3D sequences, e.g. apparent diffusion coefficient (ADC) and T2-weighted (T2w) images, is time-consuming and demands special expertise, limiting its usage for large-scale PCa screening. Therefore, solutions to computer-aided detection of PCa in mp-MRI images are highly desirable. Most recent advances in automated methods for PCa detection employ a handcrafted feature based two-stage classification flow, i.e. voxel-level classification followed by a region-level classification. This work presents an automated PCa detection system which can concurrently identify the presence of PCa in an image and localize lesions based on deep convolutional neural network (CNN) features and a single-stage SVM classifier. Specifically, the developed co-trained CNNs consist of two parallel convolutional networks for ADC and T2w images respectively. Each network is trained using images of a single modality in a weakly-supervised manner by providing a set of prostate images with image-level labels indicating only the presence of PCa without priors of lesions' locations. Discriminative visual patterns of lesions can be learned effectively from clutters of prostate and surrounding tissues. A cancer response map with each pixel indicating the likelihood to be cancerous is explicitly generated at the last convolutional layer of the network for each modality. A new back-propagated error E is defined to enforce both optimized classification results and consistent cancer response maps for different modalities, which help capture highly representative PCa-relevant features during the CNN feature learning process. The CNN features of each modality are concatenated and fed into a SVM classifier. For images which are classified to contain cancers, non-maximum suppression and adaptive thresholding are applied to the corresponding cancer response maps for PCa foci localization. Evaluation based on 160 patient data with 12-core systematic TRUS-guided prostate biopsy as the reference standard demonstrates that our system achieves a sensitivity of 0.46, 0.92 and 0.97 at 0.1, 1 and 10 false positives per normal/benign patient which is significantly superior to two state-of-the-art CNN-based methods (Oquab et al., 2015; Zhou et al., 2015) and 6-core systematic prostate biopsies.</abstracttext></p><p class='copyright'>Copyright © 2017 Elsevier B.V. All rights reserved.</p></div></div>",zhiweiwang@hust.edu.cn,Cancer response map; Co-trained CNN; Convolutional neural network; Prostate biopsy; Prostate cancer detection,https://www.ncbi.nlm.nih.gov//pubmed/28850876,pubmed,2017,2a6422ec-65e1-4196-9d2b-9894fd85d2e4,1
3d convolutional neural network for automatic detection of lung nodules in chest ct,/pubmed/28845077,"Hamidian S, Sahiner B, Petrick N, Pezeshk A.",Proc SPIE Int Soc Opt Eng. 2017;10134. pii: 1013409. doi: 10.1117/12.2255795. Epub 2017 Mar 3.,Proc SPIE Int Soc Opt Eng.  2017,PubMed,citation,PMID:28845077 | PMCID:PMC5568782,pubmed,28845077,create date:2017/08/29 | first author:Hamidian S,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Deep convolutional neural networks (CNNs) form the backbone of many state-of-the-art computer vision systems for classification and segmentation of 2D images. The same principles and architectures can be extended to three dimensions to obtain 3D CNNs that are suitable for volumetric data such as CT scans. In this work, we train a 3D CNN for automatic detection of pulmonary nodules in chest CT images using volumes of interest extracted from the LIDC dataset. We then convert the 3D CNN which has a fixed field of view to a 3D fully convolutional network (FCN) which can generate the score map for the entire volume efficiently in a single pass. Compared to the sliding window approach for applying a CNN across the entire input volume, the FCN leads to a nearly 800-fold speed-up, and thereby fast generation of output scores for a single case. This screening FCN is used to generate difficult negative examples that are used to train a new discriminant CNN. The overall system consists of the screening FCN for fast generation of candidate regions of interest, followed by the discrimination CNN.</abstracttext></p></div></div>",,Deep learning; chest CT; computer-aided diagnosis; convolutional neural networks,https://www.ncbi.nlm.nih.gov//pubmed/28845077,pubmed,2017,0fdb4264-a47d-4bce-8be1-37defde2dad8,1
constructing fine-granularity functional brain network atlases via deep convolutional autoencoder,/pubmed/28843214,"Zhao Y, Dong Q, Chen H, Iraji A, Li Y, Makkie M, Kou Z, Liu T.",Med Image Anal. 2017 Aug 18;42:200-211. doi: 10.1016/j.media.2017.08.005. [Epub ahead of print],Med Image Anal.  2017,PubMed,citation,PMID:28843214,pubmed,28843214,create date:2017/08/27 | first author:Zhao Y,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>State-of-the-art functional brain network reconstruction methods such as independent component analysis (ICA) or sparse coding of whole-brain fMRI data can effectively infer many thousands of volumetric brain network maps from a large number of human brains. However, due to the variability of individual brain networks and the large scale of such networks needed for statistically meaningful group-level analysis, it is still a challenging and open problem to derive group-wise common networks as network atlases. Inspired by the superior spatial pattern description ability of the deep convolutional neural networks (CNNs), a novel deep 3D convolutional autoencoder (CAE) network is designed here to extract spatial brain network features effectively, based on which an Apache Spark enabled computational framework is developed for fast clustering of larger number of network maps into fine-granularity atlases. To evaluate this framework, 10 resting state networks (RSNs) were manually labeled from the sparsely decomposed networks of Human Connectome Project (HCP) fMRI data and 5275 network training samples were obtained, in total. Then the deep CAE models are trained by these functional networks' spatial maps, and the learned features are used to refine the original 10 RSNs into 17 network atlases that possess fine-granularity functional network patterns. Interestingly, it turned out that some manually mislabeled outliers in training networks can be corrected by the deep CAE derived features. More importantly, fine granularities of networks can be identified and they reveal unique network patterns specific to different brain task states. By further applying this method to a dataset of mild traumatic brain injury study, it shows that the technique can effectively identify abnormal small networks in brain injury patients in comparison with controls. In general, our work presents a promising deep learning and big data analysis solution for modeling functional connectomes, with fine granularities, based on fMRI data.</abstracttext></p><p class='copyright'>Copyright © 2017 Elsevier B.V. All rights reserved.</p></div></div>",tliu@uga.edu,Deep learning; Functional brain networks; fMRI,https://www.ncbi.nlm.nih.gov//pubmed/28843214,pubmed,2017,0a168f1c-aa57-41d3-ba97-2326c731307e,1
personalized monitoring and advance warning system for cardiac arrhythmias,/pubmed/28839215,"Kiranyaz S, Ince T, Gabbouj M.",Sci Rep. 2017 Aug 24;7(1):9270. doi: 10.1038/s41598-017-09544-z.,Sci Rep.  2017,PubMed,citation,PMID:28839215 | PMCID:PMC5571226,pubmed,28839215,create date:2017/08/26 | first author:Kiranyaz S,"<div class='abstr'><h3>Abstract</h3><div class=''><p><abstracttext>Each year more than 7 million people die from cardiac arrhythmias. Yet no robust solution exists today to detect such heart anomalies right at the moment they occur. The purpose of this study was to design a personalized health monitoring system that can detect early occurrences of arrhythmias from an individual's electrocardiogram (ECG) signal. We first modelled the common causes of arrhythmias in the signal domain as a degradation of normal ECG beats to abnormal beats. Using the degradation models, we performed abnormal beat synthesis which created potential abnormal beats from the average normal beat of the individual. Finally, a Convolutional Neural Network (CNN) was trained using real normal and synthesized abnormal beats. As a personalized classifier, the trained CNN can monitor ECG beats in real time for arrhythmia detection. Over 34 patients' ECG records with a total of 63,341 ECG beats from the MIT-BIH arrhythmia benchmark database, we have shown that the probability of detecting one or more abnormal ECG beats among the first three occurrences is higher than 99.4% with a very low false-alarm rate.</abstracttext></p></div></div>",mkiranyaz@qu.edu.qa,,https://www.ncbi.nlm.nih.gov//pubmed/28839215,pubmed,2017,52301a73-3bbc-4ee3-874b-5c9545961396,1
identification and segmentation of myelinated nerve fibers in a cross-sectional optical microscopic image using a deep learning model,/pubmed/28837816,"Naito T, Nagashima Y, Taira K, Uchio N, Tsuji S, Shimizu J.",J Neurosci Methods. 2017 Aug 26;291:141-149. doi: 10.1016/j.jneumeth.2017.08.014. [Epub ahead of print],J Neurosci Methods.  2017,PubMed,citation,PMID:28837816,pubmed,28837816,create date:2017/08/25 | first author:Naito T,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>The morphometric analysis of myelinated nerve fibers of peripheral nerves in cross-sectional optical microscopic images is valuable. Several automated methods for nerve fiber identification and segmentation have been reported. This paper presents a new method that uses a deep learning model of a convolutional neural network (CNN). We tested it for human sural nerve biopsy images.</abstracttext></p><h4>METHODS: </h4><p><abstracttext label='METHODS' nlmcategory='METHODS'>The method comprises four steps: normalization, clustering segmentation, myelinated nerve fiber identification, and clump splitting. A normalized sample image was separated into individual objects with clustering segmentation. Each object was applied to a CNN deep learning model that labeled myelinated nerve fibers as positive and other structures as negative. Only positives proceeded to the next step. For pretraining the model, 70,000 positive and negative data each from 39 samples were used. The accuracy of the proposed algorithm was evaluated using 10 samples that were not part of the training set. A P-value of &lt;0.05 was considered statistically significant.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>The total true-positive rate (TPR) for the detection of myelinated fibers was 0.982, and the total false-positive rate was 0.016. The defined total area similarity (AS) and area overlap error of segmented myelin sheaths were 0.967 and 0.068, respectively. In all but one sample, there were no significant differences in estimated morphometric parameters obtained from our method and manual segmentation.</abstracttext></p><h4>COMPARISON WITH EXISTING METHODS: </h4><p><abstracttext label='COMPARISON WITH EXISTING METHODS' nlmcategory='UNASSIGNED'>The TPR and AS were higher than those obtained using previous methods.</abstracttext></p><h4>CONCLUSIONS: </h4><p><abstracttext label='CONCLUSIONS' nlmcategory='CONCLUSIONS'>High-performance automated identification and segmentation of myelinated nerve fibers were achieved using a deep learning model.</abstracttext></p><p class='copyright'>Copyright © 2017 Elsevier B.V. All rights reserved.</p></div></div>",tanaitou-tky@umin.ac.jp,,https://www.ncbi.nlm.nih.gov//pubmed/28837816,pubmed,2017,fc542e66-8cc7-48ed-8473-8841be0d239e,1
deep neural network-based computer-assisted detection of cerebral aneurysms in mr angiography,/pubmed/28836310,"Nakao T, Hanaoka S, Nomura Y, Sato I, Nemoto M, Miki S, Maeda E, Yoshikawa T, Hayashi N, Abe O.",J Magn Reson Imaging. 2017 Aug 24. doi: 10.1002/jmri.25842. [Epub ahead of print],J Magn Reson Imaging.  2017,PubMed,citation,PMID:28836310,pubmed,28836310,create date:2017/08/25 | first author:Nakao T,"<div class='abstr'><h3>Abstract</h3><div class=''><h4>BACKGROUND: </h4><p><abstracttext label='BACKGROUND' nlmcategory='BACKGROUND'>The usefulness of computer-assisted detection (CAD) for detecting cerebral aneurysms has been reported; therefore, the improved performance of CAD will help to detect cerebral aneurysms.</abstracttext></p><h4>PURPOSE: </h4><p><abstracttext label='PURPOSE' nlmcategory='OBJECTIVE'>To develop a CAD system for intracranial aneurysms on unenhanced magnetic resonance angiography (MRA) images based on a deep convolutional neural network (CNN) and a maximum intensity projection (MIP) algorithm, and to demonstrate the usefulness of the system by training and evaluating it using a large dataset.</abstracttext></p><h4>STUDY TYPE: </h4><p><abstracttext label='STUDY TYPE' nlmcategory='METHODS'>Retrospective study.</abstracttext></p><h4>SUBJECTS: </h4><p><abstracttext label='SUBJECTS' nlmcategory='METHODS'>There were 450 cases with intracranial aneurysms. The diagnoses of brain aneurysms were made on the basis of MRA, which was performed as part of a brain screening program.</abstracttext></p><h4>FIELD STRENGTH/SEQUENCE: </h4><p><abstracttext label='FIELD STRENGTH/SEQUENCE' nlmcategory='UNASSIGNED'>Noncontrast-enhanced 3D time-of-flight (TOF) MRA on 3T MR scanners.</abstracttext></p><h4>ASSESSMENT: </h4><p><abstracttext label='ASSESSMENT' nlmcategory='RESULTS'>In our CAD, we used a CNN classifier that predicts whether each voxel is inside or outside aneurysms by inputting MIP images generated from a volume of interest (VOI) around the voxel. The CNN was trained in advance using manually inputted labels. We evaluated our method using 450 cases with intracranial aneurysms, 300 of which were used for training, 50 for parameter tuning, and 100 for the final evaluation.</abstracttext></p><h4>STATISTICAL TESTS: </h4><p><abstracttext label='STATISTICAL TESTS' nlmcategory='UNASSIGNED'>Free-response receiver operating characteristic (FROC) analysis.</abstracttext></p><h4>RESULTS: </h4><p><abstracttext label='RESULTS' nlmcategory='RESULTS'>Our CAD system detected 94.2% (98/104) of aneurysms with 2.9 false positives per case (FPs/case). At a sensitivity of 70%, the number of FPs/case was 0.26.</abstracttext></p><h4>DATA CONCLUSION: </h4><p><abstracttext label='DATA CONCLUSION' nlmcategory='UNASSIGNED'>We showed that the combination of a CNN and an MIP algorithm is useful for the detection of intracranial aneurysms.</abstracttext></p><h4>LEVEL OF EVIDENCE: </h4><p><abstracttext label='LEVEL OF EVIDENCE' nlmcategory='METHODS'>4 Technical Efficacy Stage 1 J. Magn. Reson. Imaging 2017.</abstracttext></p><p class='copyright'>© 2017 International Society for Magnetic Resonance in Medicine.</p></div></div>",,cerebral aneurysm; computer-assisted detection; convolutional neural network,https://www.ncbi.nlm.nih.gov//pubmed/28836310,pubmed,2017,d2096183-d148-4100-8ea7-0c5518955128,1
